tris,type,size,time
HEAP_SORT,INVERSE,1024,0.041199
HEAP_SORT,INVERSE,2048,0.0880853
HEAP_SORT,INVERSE,4096,0.185847
HEAP_SORT,INVERSE,8192,0.392033
HEAP_SORT,INVERSE,16384,0.815784
HEAP_SORT,INVERSE,32768,1.72695
HEAP_SORT,INVERSE,65536,3.46188
HEAP_SORT,INVERSE,131072,7.56348
HEAP_SORT,INVERSE,262144,16.6806
HEAP_SORT,INVERSE,524288,31.3656
HEAP_SORT,INVERSE,1048576,64.4411
HEAP_SORT,ORDERED,1,0.000117
HEAP_SORT,ORDERED,2,9.73333e-05
HEAP_SORT,ORDERED,4,9.73333e-05
HEAP_SORT,ORDERED,8,0.000153
HEAP_SORT,ORDERED,16,0.000315
HEAP_SORT,ORDERED,32,0.000621
HEAP_SORT,ORDERED,64,0.00156233
HEAP_SORT,ORDERED,128,0.00346667
HEAP_SORT,ORDERED,256,0.00845033
HEAP_SORT,ORDERED,512,0.0197523
HEAP_SORT,ORDERED,1024,0.042436
HEAP_SORT,ORDERED,2048,0.08819
HEAP_SORT,ORDERED,4096,0.180896
HEAP_SORT,ORDERED,8192,0.382393
HEAP_SORT,ORDERED,16384,0.788123
HEAP_SORT,ORDERED,32768,1.64583
HEAP_SORT,ORDERED,65536,3.44258
HEAP_SORT,ORDERED,131072,7.27281
HEAP_SORT,ORDERED,262144,15.0689
HEAP_SORT,ORDERED,524288,30.9228
HEAP_SORT,ORDERED,1048576,64.444
QUICK_SORT,RANDOM,1,8.3e-05
QUICK_SORT,RANDOM,2,4.16667e-05
QUICK_SORT,RANDOM,4,9.06667e-05
QUICK_SORT,RANDOM,8,0.000204667
QUICK_SORT,RANDOM,16,0.000440333
QUICK_SORT,RANDOM,32,0.000976333
QUICK_SORT,RANDOM,64,0.00212267
QUICK_SORT,RANDOM,128,0.00456533
QUICK_SORT,RANDOM,256,0.009644
QUICK_SORT,RANDOM,512,0.0204613
QUICK_SORT,RANDOM,1024,0.0428963
QUICK_SORT,RANDOM,2048,0.0928047
QUICK_SORT,RANDOM,4096,0.194352
QUICK_SORT,RANDOM,8192,0.408456
QUICK_SORT,RANDOM,16384,0.876524
QUICK_SORT,RANDOM,32768,1.80883
QUICK_SORT,RANDOM,65536,3.80362
QUICK_SORT,RANDOM,131072,7.82007
QUICK_SORT,RANDOM,262144,16.0103
QUICK_SORT,RANDOM,524288,31.9274
QUICK_SORT,RANDOM,1048576,63.0007
QUICK_SORT,INVERSE,1,7.16667e-05
QUICK_SORT,INVERSE,2,3.93333e-05
QUICK_SORT,INVERSE,4,7.03333e-05
QUICK_SORT,INVERSE,8,0.000122
QUICK_SORT,INVERSE,16,0.000213667
QUICK_SORT,INVERSE,32,0.000311333
QUICK_SORT,INVERSE,64,0.000399
QUICK_SORT,INVERSE,128,0.000620333
QUICK_SORT,INVERSE,256,0.00110767
QUICK_SORT,INVERSE,512,0.00233933
QUICK_SORT,INVERSE,1024,0.005235
QUICK_SORT,INVERSE,2048,0.010944
QUICK_SORT,INVERSE,4096,0.0230613
QUICK_SORT,INVERSE,8192,0.052648
QUICK_SORT,INVERSE,16384,0.119658
QUICK_SORT,INVERSE,32768,0.28971
QUICK_SORT,INVERSE,65536,0.656769
QUICK_SORT,INVERSE,131072,1.59372
QUICK_SORT,INVERSE,262144,3.72107
QUICK_SORT,INVERSE,524288,7.03752
QUICK_SORT,INVERSE,1048576,12.4947
