tris,type,size,time
COUNTING_SORT,ORDERED,131072,1.59963
COUNTING_SORT,ORDERED,262144,3.00973
COUNTING_SORT,ORDERED,524288,4.28995
COUNTING_SORT,ORDERED,1048576,8.53281
COUNTING_SORT,INVERSE,1,0.001247
COUNTING_SORT,INVERSE,2,0.043231
COUNTING_SORT,INVERSE,4,0.026731
COUNTING_SORT,INVERSE,8,0.042776
COUNTING_SORT,INVERSE,16,0.042722
COUNTING_SORT,INVERSE,32,0.046125
COUNTING_SORT,INVERSE,64,0.047939
COUNTING_SORT,INVERSE,128,0.048076
COUNTING_SORT,INVERSE,256,0.048802
COUNTING_SORT,INVERSE,512,0.052427
COUNTING_SORT,INVERSE,1024,0.054217
COUNTING_SORT,INVERSE,2048,0.056796
COUNTING_SORT,INVERSE,4096,0.067192
COUNTING_SORT,INVERSE,8192,0.085559
COUNTING_SORT,INVERSE,16384,0.316337
COUNTING_SORT,INVERSE,32768,0.491926
COUNTING_SORT,INVERSE,65536,0.599806
COUNTING_SORT,INVERSE,131072,1.4893
COUNTING_SORT,INVERSE,262144,3.0138
COUNTING_SORT,INVERSE,524288,4.44319
COUNTING_SORT,INVERSE,1048576,9.38088
NATIVE_SORT,RANDOM,1,0.00095
NATIVE_SORT,RANDOM,2,0.000235
NATIVE_SORT,RANDOM,4,0.000203
NATIVE_SORT,RANDOM,8,0.000407
NATIVE_SORT,RANDOM,16,0.000543
NATIVE_SORT,RANDOM,32,0.000854
NATIVE_SORT,RANDOM,64,0.00141
NATIVE_SORT,RANDOM,128,0.016569
NATIVE_SORT,RANDOM,256,0.006576
NATIVE_SORT,RANDOM,512,0.014138
NATIVE_SORT,RANDOM,1024,0.030485
NATIVE_SORT,RANDOM,2048,0.066096
NATIVE_SORT,RANDOM,4096,0.147002
NATIVE_SORT,RANDOM,8192,0.332737
NATIVE_SORT,RANDOM,16384,0.774905
NATIVE_SORT,RANDOM,32768,1.69152
NATIVE_SORT,RANDOM,65536,3.55384
NATIVE_SORT,RANDOM,131072,7.67129
